0,0,0.9961576619,0.0045830436,-0.8997765175
1,1,0.0215409247,0.9768656827,-0.7858478731
1,1,0.019279371,0.968165194,-0.6729147181
0,0,0.993683333,0.0081610164,-0.8860513641
1,1,"7.2913274449762131-4",0.9982310137,-0.637153871
1,1,0.0033605227,0.9970048874,-0.8061730584
1,1,0.0040408936,0.9960121075,-0.7100527918
1,1,0.0135104558,0.9633552405,-0.7162405488
0,0,0.8421431254,0.3079176429,-0.7012737272
1,1,0.0049402481,0.9928314585,-0.7435495452
1,1,0.0175640394,0.9751930795,-0.7224299612
1,1,0.002421684,0.99638074,-0.8009805825
1,1,0.0565968236,0.9181079812,-0.7018351314
0,0,0.9947031823,0.0156237146,-0.776071872
1,1,"1.60030561422855121-4",0.9996515368,-0.5600450208
1,1,0.1550485187,0.9139325261,-0.462932914
1,1,"1.1137923690798911-4",0.9998267094,-0.5854239953
0,0,0.9784899627,0.0200152917,-0.8380364955
0,0,0.9992271326,"8.7630485790728211-4",-0.8525044634
0,0,0.9995298955,"5.0011925979618821-4",-0.8662296169
1,1,0.0140504453,0.9744019346,-0.7566076681
0,0,0.9515149113,0.1055753298,-0.7148352881
1,1,0.0106971929,0.9705183629,-0.7397947796
1,1,0.0067369871,0.9921638898,-0.6399816641
1,1,0.0099325267,0.9792313263,-0.7164041414
0,0,0.997428227,0.0085142181,-0.6321078662
1,1,0.004334295,0.9945678069,-0.7341886475
1,1,0.0118537339,0.978881956,-0.6371357084
1,1,0.0489229594,0.9765393485,-0.4731872425
1,1,0.0204703368,0.9646359741,-0.5176538287
1,1,0.0176449826,0.9699365882,-0.6498639254
0,0,0.9991824873,"9.4696893135426991-4",-0.8758069752
1,1,0.0076138694,0.9866903583,-0.7072949626
1,1,0.0019851079,0.9974858118,-0.119611273
1,1,0.0114498665,0.9681539626,-0.7164922679
1,1,0.0119401893,0.9713320502,-0.4410142013
1,1,0.0916011839,0.9414808253,-0.529724849
0,0,0.9990361432,"9.4644390280975461-4",-0.7831003663
1,1,0.0054634317,0.9897856291,-0.4912103979
1,1,0.0073503109,0.9846312462,-0.7632608839
1,1,0.0202904216,0.9724948308,-0.781823463
1,1,"9.0416306892269671-4",0.9989927533,-0.1995114781
1,1,0.1027867031,0.9472836684,-0.4987254065
0,0,0.9718726079,0.0637671626,-0.6677268265
1,1,0.0040007484,0.99539862,-0.6877472166
1,1,0.0123512156,0.9875322912,-0.7723744387
1,1,0.0041696483,0.9913517239,-0.7973894094
1,1,0.028181053,0.9498105129,-0.6270549121
1,1,0.0071254701,0.9676076549,-0.298944715
1,1,0.0021918885,0.9930300159,-0.190440893
1,1,0.0051230697,0.989504025,-0.4050420151
1,1,0.0191068168,0.9675713072,-0.8254944043
1,1,0.0177963435,0.9708286562,-0.6962172299
0,0,0.9917582517,0.0226789524,-0.7765753101
0,0,0.9847499446,0.0406496609,-0.7995379763
1,1,0.0028748076,0.9958625292,-0.7070253181
1,1,"1.31207182123911861-4",0.9997951142,-0.5618697645
1,1,0.0421955686,0.9582798615,-0.668338378
1,1,0.0105276964,0.9875496601,-0.7925010889
1,1,"4.82275629798427171-4",0.9994851888,-0.1800518585
1,1,0.1987699082,0.8488291441,-0.4961779484
1,1,0.0068239858,0.9878996342,-0.7666884644
1,1,0.0277736747,0.9223616634,-0.6831089598
1,1,0.0079598411,0.9867198225,-0.6599447217
1,1,0.0352448139,0.9308665739,-0.7546780591
1,1,"1.5564528240045311-4",0.9997723821,-0.5993127412
1,1,0.0201426483,0.9653011886,-0.8021918926
1,1,0.0414540717,0.9432683628,-0.299100208
1,1,0.0038977018,0.996309238,-0.7362655232
1,1,0.4224303539,0.6594292827,-0.4743658715
1,1,0.0086010238,0.9784111695,-0.3921735256
1,1,0.0146448512,0.9599611305,-0.6929380371
1,1,0.0088022486,0.9776792946,-0.3688710139
1,1,0.0013918938,0.9958927688,-0.313031996
1,1,0.0108538334,0.9875730144,-0.828592079
1,1,0.0292622723,0.9288753197,-0.3720119329
1,1,0.1609111418,0.6668942314,-0.4569615242
1,1,0.0012919568,0.9986999831,-0.0474680856
0,0,0.9937269879,0.0155932798,-0.6833652631
1,1,0.0040372796,0.9974122531,-0.2362793247
